Protein accession,Sequence MD digest,Sequence length,Library (analysis),Signature Accession,Signature Description,Start,End,E-value,Status,Date,Interpro accession,Interpro description,GO term,pathways
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,SUPERFAMILY,SSF54695,POZ domain,41,136,6.28E-25,T,4/11/25,IPR011333,SKP1/BTB/POZ domain superfamily,-,Reactome:R-BTA-114608|Reactome:R-BTA-1169091|Reactome:R-BTA-1234176|Reactome:R-BTA-1296072|Reactome:R-BTA-174113|Reactome:R-BTA-187577|Reactome:R-BTA-195253|Reactome:R-BTA-202424|Reactome:R-BTA-2565942|Reactome:R-BTA-2871837|Reactome:R-BTA-5576894|Reactome:R-BTA-5607761|Reactome:R-BTA-5607764|Reactome:R-BTA-5610780|Reactome:R-BTA-5610785|Reactome:R-BTA-5632684|Reactome:R-BTA-5676590|Reactome:R-BTA-5684264|Reactome:R-BTA-674695|Reactome:R-BTA-6796648|Reactome:R-BTA-68949|Reactome:R-BTA-69231|Reactome:R-BTA-75955|Reactome:R-BTA-8854050|Reactome:R-BTA-8939902|Reactome:R-BTA-8951664|Reactome:R-BTA-9020702|Reactome:R-BTA-917937|Reactome:R-BTA-9705462|Reactome:R-BTA-9708530|Reactome:R-BTA-9762114|Reactome:R-BTA-983168|Reactome:R-CEL-187577|Reactome:R-CEL-195253|Reactome:R-CEL-2565942|Reactome:R-CEL-381676|Reactome:R-CEL-5576890|Reactome:R-CEL-5632684|Reactome:R-CEL-68949|Reactome:R-CEL-69231|Reactome:R-CEL-8854050|Reactome:R-CEL-8939902|Reactome:R-CEL-8951664|Reactome:R-CEL-917937|Reactome:R-CEL-9706019|Reactome:R-CEL-9762114|Reactome:R-CEL-983168|Reactome:R-DDI-114608|Reactome:R-DDI-6796648|Reactome:R-DDI-68949|Reactome:R-DDI-69231|Reactome:R-DDI-8854050|Reactome:R-DDI-8951664|Reactome:R-DDI-917937|Reactome:R-DDI-983168|Reactome:R-DME-1296072|Reactome:R-DME-210671|Reactome:R-DME-216167|Reactome:R-DME-381676|Reactome:R-DME-5576890|Reactome:R-DME-5576894|Reactome:R-DME-5632684|Reactome:R-DME-6811440|Reactome:R-DME-8866904|Reactome:R-DME-8951664|Reactome:R-DME-9706019|Reactome:R-DME-983168|Reactome:R-DRE-114608|Reactome:R-DRE-4641258|Reactome:R-DRE-5632684|Reactome:R-DRE-5689880|Reactome:R-DRE-8951664|Reactome:R-DRE-9696264|Reactome:R-DRE-9696270|Reactome:R-DRE-9755511|Reactome:R-DRE-983168|Reactome:R-GGA-1169091|Reactome:R-GGA-1170546|Reactome:R-GGA-1296072|Reactome:R-GGA-174113|Reactome:R-GGA-187577|Reactome:R-GGA-195253|Reactome:R-GGA-202424|Reactome:R-GGA-2565942|Reactome:R-GGA-2871837|Reactome:R-GGA-3232118|Reactome:R-GGA-381676|Reactome:R-GGA-5607761|Reactome:R-GGA-5607764|Reactome:R-GGA-5610780|Reactome:R-GGA-5610785|Reactome:R-GGA-5676590|Reactome:R-GGA-5684264|Reactome:R-GGA-68949|Reactome:R-GGA-69231|Reactome:R-GGA-8854050|Reactome:R-GGA-8939902|Reactome:R-GGA-8951664|Reactome:R-GGA-9020702|Reactome:R-GGA-917937|Reactome:R-GGA-9696264|Reactome:R-GGA-9696270|Reactome:R-GGA-9708530|Reactome:R-GGA-9762114|Reactome:R-GGA-983168|Reactome:R-HSA-112382|Reactome:R-HSA-114608|Reactome:R-HSA-1169091|Reactome:R-HSA-1170546|Reactome:R-HSA-1234176|Reactome:R-HSA-1296072|Reactome:R-HSA-167152|Reactome:R-HSA-167200|Reactome:R-HSA-167238|Reactome:R-HSA-167243|Reactome:R-HSA-167246|Reactome:R-HSA-167287|Reactome:R-HSA-167290|Reactome:R-HSA-174113|Reactome:R-HSA-180534|Reactome:R-HSA-180585|Reactome:R-HSA-187577|Reactome:R-HSA-195253|Reactome:R-HSA-202424|Reactome:R-HSA-2122947|Reactome:R-HSA-2565942|Reactome:R-HSA-2644606|Reactome:R-HSA-2644607|Reactome:R-HSA-2871837|Reactome:R-HSA-2894862|Reactome:R-HSA-3232118|Reactome:R-HSA-381038|Reactome:R-HSA-381676|Reactome:R-HSA-3899300|Reactome:R-HSA-400253|Reactome:R-HSA-4641258|Reactome:R-HSA-5576890|Reactome:R-HSA-5576894|Reactome:R-HSA-5607761|Reactome:R-HSA-5607764|Reactome:R-HSA-5610780|Reactome:R-HSA-5610783|Reactome:R-HSA-5610785|Reactome:R-HSA-5632684|Reactome:R-HSA-5658442|Reactome:R-HSA-5676590|Reactome:R-HSA-5684264|Reactome:R-HSA-5689880|Reactome:R-HSA-5693568|Reactome:R-HSA-674695|Reactome:R-HSA-6783310|Reactome:R-HSA-6785807|Reactome:R-HSA-6796648|Reactome:R-HSA-6803205|Reactome:R-HSA-6811440|Reactome:R-HSA-68949|Reactome:R-HSA-69231|Reactome:R-HSA-75955|Reactome:R-HSA-8854050|Reactome:R-HSA-8866904|Reactome:R-HSA-8931987|Reactome:R-HSA-8939902|Reactome:R-HSA-8951664|Reactome:R-HSA-9010553|Reactome:R-HSA-9013148|Reactome:R-HSA-9013405|Reactome:R-HSA-9013418|Reactome:R-HSA-9013422|Reactome:R-HSA-9018519|Reactome:R-HSA-9020702|Reactome:R-HSA-917937|Reactome:R-HSA-9604323|Reactome:R-HSA-9614657|Reactome:R-HSA-9679191|Reactome:R-HSA-9696264|Reactome:R-HSA-9696270|Reactome:R-HSA-9705462|Reactome:R-HSA-9706019|Reactome:R-HSA-9707587|Reactome:R-HSA-9707616|Reactome:R-HSA-9708530|Reactome:R-HSA-9725371|Reactome:R-HSA-9755511|Reactome:R-HSA-9759194|Reactome:R-HSA-9762114|Reactome:R-HSA-9818027|Reactome:R-HSA-983168|Reactome:R-HSA-9833109|Reactome:R-MMU-112382|Reactome:R-MMU-114608|Reactome:R-MMU-1169091|Reactome:R-MMU-1170546|Reactome:R-MMU-1234176|Reactome:R-MMU-1296072|Reactome:R-MMU-174113|Reactome:R-MMU-187577|Reactome:R-MMU-195253|Reactome:R-MMU-202424|Reactome:R-MMU-2565942|Reactome:R-MMU-2871837|Reactome:R-MMU-3232118|Reactome:R-MMU-381676|Reactome:R-MMU-3899300|Reactome:R-MMU-4641258|Reactome:R-MMU-5576890|Reactome:R-MMU-5576894|Reactome:R-MMU-5607761|Reactome:R-MMU-5607764|Reactome:R-MMU-5610780|Reactome:R-MMU-5610785|Reactome:R-MMU-5632684|Reactome:R-MMU-5676590|Reactome:R-MMU-5684264|Reactome:R-MMU-5689880|Reactome:R-MMU-5693568|Reactome:R-MMU-674695|Reactome:R-MMU-6783310|Reactome:R-MMU-6796648|Reactome:R-MMU-6811440|Reactome:R-MMU-68949|Reactome:R-MMU-69231|Reactome:R-MMU-75955|Reactome:R-MMU-8854050|Reactome:R-MMU-8866904|Reactome:R-MMU-8939902|Reactome:R-MMU-8951664|Reactome:R-MMU-9013405|Reactome:R-MMU-9013418|Reactome:R-MMU-9013422|Reactome:R-MMU-9020702|Reactome:R-MMU-917937|Reactome:R-MMU-9696264|Reactome:R-MMU-9696270|Reactome:R-MMU-9705462|Reactome:R-MMU-9706019|Reactome:R-MMU-9707616|Reactome:R-MMU-9708530|Reactome:R-MMU-9755511|Reactome:R-MMU-9762114|Reactome:R-MMU-983168|Reactome:R-RNO-112382|Reactome:R-RNO-114608|Reactome:R-RNO-1169091|Reactome:R-RNO-1170546|Reactome:R-RNO-1234176|Reactome:R-RNO-1296072|Reactome:R-RNO-174113|Reactome:R-RNO-187577|Reactome:R-RNO-195253|Reactome:R-RNO-2565942|Reactome:R-RNO-381676|Reactome:R-RNO-4641258|Reactome:R-RNO-5576890|Reactome:R-RNO-5576894|Reactome:R-RNO-5607761|Reactome:R-RNO-5610780|Reactome:R-RNO-5610785|Reactome:R-RNO-5676590|Reactome:R-RNO-5689880|Reactome:R-RNO-674695|Reactome:R-RNO-6796648|Reactome:R-RNO-68949|Reactome:R-RNO-69231|Reactome:R-RNO-75955|Reactome:R-RNO-8854050|Reactome:R-RNO-8866904|Reactome:R-RNO-8951664|Reactome:R-RNO-9020702|Reactome:R-RNO-917937|Reactome:R-RNO-9696264|Reactome:R-RNO-9696270|Reactome:R-RNO-9705462|Reactome:R-RNO-9755511|Reactome:R-RNO-9762114|Reactome:R-RNO-983168|Reactome:R-SCE-6796648|Reactome:R-SCE-68949|Reactome:R-SCE-8854050|Reactome:R-SCE-917937|Reactome:R-SCE-983168|Reactome:R-SPO-6796648|Reactome:R-SPO-6798695|Reactome:R-SPO-68949|Reactome:R-SPO-8854050|Reactome:R-SPO-8951664|Reactome:R-SPO-983168|Reactome:R-SSC-5689880|Reactome:R-SSC-8951664|Reactome:R-SSC-9755511|Reactome:R-SSC-983168|Reactome:R-XTR-5632684|Reactome:R-XTR-8951664|Reactome:R-XTR-9696264|Reactome:R-XTR-983168
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,FunFam,G3DSA:3.30.710.10:FF:000013,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,35,144,4.80E-58,T,4/11/25,-,-,-,-
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,SMART,SM00225,BTB_4,41,141,7.80E-15,T,4/11/25,IPR000210,BTB/POZ domain,GO:0005515(InterPro),Reactome:R-BTA-114608|Reactome:R-BTA-1296072|Reactome:R-BTA-5576894|Reactome:R-BTA-5632684|Reactome:R-BTA-8951664|Reactome:R-BTA-983168|Reactome:R-CEL-5632684|Reactome:R-CEL-8951664|Reactome:R-CEL-9706019|Reactome:R-CEL-983168|Reactome:R-DDI-114608|Reactome:R-DDI-8951664|Reactome:R-DDI-983168|Reactome:R-DME-1296072|Reactome:R-DME-210671|Reactome:R-DME-216167|Reactome:R-DME-381676|Reactome:R-DME-5576890|Reactome:R-DME-5576894|Reactome:R-DME-5632684|Reactome:R-DME-6811440|Reactome:R-DME-8866904|Reactome:R-DME-8951664|Reactome:R-DME-9706019|Reactome:R-DME-983168|Reactome:R-DRE-114608|Reactome:R-DRE-4641258|Reactome:R-DRE-5632684|Reactome:R-DRE-5689880|Reactome:R-DRE-8951664|Reactome:R-DRE-9696264|Reactome:R-DRE-9696270|Reactome:R-DRE-9755511|Reactome:R-DRE-983168|Reactome:R-GGA-1296072|Reactome:R-GGA-3232118|Reactome:R-GGA-381676|Reactome:R-GGA-8951664|Reactome:R-GGA-9696264|Reactome:R-GGA-9696270|Reactome:R-GGA-983168|Reactome:R-HSA-114608|Reactome:R-HSA-1296072|Reactome:R-HSA-3232118|Reactome:R-HSA-381038|Reactome:R-HSA-381676|Reactome:R-HSA-3899300|Reactome:R-HSA-4641258|Reactome:R-HSA-5576890|Reactome:R-HSA-5576894|Reactome:R-HSA-5632684|Reactome:R-HSA-5658442|Reactome:R-HSA-5689880|Reactome:R-HSA-5693568|Reactome:R-HSA-6783310|Reactome:R-HSA-6785807|Reactome:R-HSA-6803205|Reactome:R-HSA-6811440|Reactome:R-HSA-8866904|Reactome:R-HSA-8931987|Reactome:R-HSA-8951664|Reactome:R-HSA-9013148|Reactome:R-HSA-9013405|Reactome:R-HSA-9013418|Reactome:R-HSA-9013422|Reactome:R-HSA-9018519|Reactome:R-HSA-9614657|Reactome:R-HSA-9679191|Reactome:R-HSA-9696264|Reactome:R-HSA-9696270|Reactome:R-HSA-9706019|Reactome:R-HSA-9707587|Reactome:R-HSA-9707616|Reactome:R-HSA-9708530|Reactome:R-HSA-9755511|Reactome:R-HSA-9759194|Reactome:R-HSA-9818027|Reactome:R-HSA-983168|Reactome:R-MMU-114608|Reactome:R-MMU-1296072|Reactome:R-MMU-3232118|Reactome:R-MMU-381676|Reactome:R-MMU-3899300|Reactome:R-MMU-4641258|Reactome:R-MMU-5576890|Reactome:R-MMU-5576894|Reactome:R-MMU-5632684|Reactome:R-MMU-5689880|Reactome:R-MMU-5693568|Reactome:R-MMU-6783310|Reactome:R-MMU-6811440|Reactome:R-MMU-8866904|Reactome:R-MMU-8951664|Reactome:R-MMU-9013405|Reactome:R-MMU-9013418|Reactome:R-MMU-9013422|Reactome:R-MMU-9696264|Reactome:R-MMU-9696270|Reactome:R-MMU-9706019|Reactome:R-MMU-9707616|Reactome:R-MMU-9708530|Reactome:R-MMU-9755511|Reactome:R-MMU-983168|Reactome:R-RNO-114608|Reactome:R-RNO-1296072|Reactome:R-RNO-381676|Reactome:R-RNO-4641258|Reactome:R-RNO-5576890|Reactome:R-RNO-5576894|Reactome:R-RNO-5689880|Reactome:R-RNO-8866904|Reactome:R-RNO-8951664|Reactome:R-RNO-9696264|Reactome:R-RNO-9696270|Reactome:R-RNO-9755511|Reactome:R-RNO-983168|Reactome:R-SSC-5689880|Reactome:R-SSC-8951664|Reactome:R-SSC-9755511|Reactome:R-SSC-983168|Reactome:R-XTR-5632684|Reactome:R-XTR-8951664|Reactome:R-XTR-9696264|Reactome:R-XTR-983168
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,MobiDBLite,mobidb-lite,consensus disorder prediction,1,31,-,T,4/11/25,-,-,-,-
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,CDD,cd18400,BTB_POZ_KCTD13_BACURD1,40,142,3.02E-72,T,4/11/25,-,-,-,-
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,MobiDBLite,mobidb-lite,consensus disorder prediction,282,303,-,T,4/11/25,-,-,-,-
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,PANTHER,PTHR11145,BTB/POZ DOMAIN-CONTAINING ADAPTER FOR CUL3-MEDIATED RHOA DEGRADATION PROTEIN FAMILY MEMBER,37,288,1.10E-100,T,4/11/25,IPR045068,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1-3,GO:0004842(PANTHER)|GO:0016567(PANTHER)|GO:0031463(PANTHER)|GO:0035024(PANTHER)|GO:0043161(PANTHER),Reactome:R-CEL-8951664|Reactome:R-CEL-983168|Reactome:R-DRE-9696264|Reactome:R-DRE-9696270|Reactome:R-GGA-9696264|Reactome:R-GGA-9696270|Reactome:R-HSA-9696264|Reactome:R-HSA-9696270|Reactome:R-MMU-9696264|Reactome:R-MMU-9696270|Reactome:R-RNO-9696264|Reactome:R-RNO-9696270|Reactome:R-XTR-9696264
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,Gene3D,G3DSA:3.30.710.10,Potassium Channel Kv1.1; Chain A,36,143,3.40E-32,T,4/11/25,IPR011333,SKP1/BTB/POZ domain superfamily,-,Reactome:R-BTA-114608|Reactome:R-BTA-1169091|Reactome:R-BTA-1234176|Reactome:R-BTA-1296072|Reactome:R-BTA-174113|Reactome:R-BTA-187577|Reactome:R-BTA-195253|Reactome:R-BTA-202424|Reactome:R-BTA-2565942|Reactome:R-BTA-2871837|Reactome:R-BTA-5576894|Reactome:R-BTA-5607761|Reactome:R-BTA-5607764|Reactome:R-BTA-5610780|Reactome:R-BTA-5610785|Reactome:R-BTA-5632684|Reactome:R-BTA-5676590|Reactome:R-BTA-5684264|Reactome:R-BTA-674695|Reactome:R-BTA-6796648|Reactome:R-BTA-68949|Reactome:R-BTA-69231|Reactome:R-BTA-75955|Reactome:R-BTA-8854050|Reactome:R-BTA-8939902|Reactome:R-BTA-8951664|Reactome:R-BTA-9020702|Reactome:R-BTA-917937|Reactome:R-BTA-9705462|Reactome:R-BTA-9708530|Reactome:R-BTA-9762114|Reactome:R-BTA-983168|Reactome:R-CEL-187577|Reactome:R-CEL-195253|Reactome:R-CEL-2565942|Reactome:R-CEL-381676|Reactome:R-CEL-5576890|Reactome:R-CEL-5632684|Reactome:R-CEL-68949|Reactome:R-CEL-69231|Reactome:R-CEL-8854050|Reactome:R-CEL-8939902|Reactome:R-CEL-8951664|Reactome:R-CEL-917937|Reactome:R-CEL-9706019|Reactome:R-CEL-9762114|Reactome:R-CEL-983168|Reactome:R-DDI-114608|Reactome:R-DDI-6796648|Reactome:R-DDI-68949|Reactome:R-DDI-69231|Reactome:R-DDI-8854050|Reactome:R-DDI-8951664|Reactome:R-DDI-917937|Reactome:R-DDI-983168|Reactome:R-DME-1296072|Reactome:R-DME-210671|Reactome:R-DME-216167|Reactome:R-DME-381676|Reactome:R-DME-5576890|Reactome:R-DME-5576894|Reactome:R-DME-5632684|Reactome:R-DME-6811440|Reactome:R-DME-8866904|Reactome:R-DME-8951664|Reactome:R-DME-9706019|Reactome:R-DME-983168|Reactome:R-DRE-114608|Reactome:R-DRE-4641258|Reactome:R-DRE-5632684|Reactome:R-DRE-5689880|Reactome:R-DRE-8951664|Reactome:R-DRE-9696264|Reactome:R-DRE-9696270|Reactome:R-DRE-9755511|Reactome:R-DRE-983168|Reactome:R-GGA-1169091|Reactome:R-GGA-1170546|Reactome:R-GGA-1296072|Reactome:R-GGA-174113|Reactome:R-GGA-187577|Reactome:R-GGA-195253|Reactome:R-GGA-202424|Reactome:R-GGA-2565942|Reactome:R-GGA-2871837|Reactome:R-GGA-3232118|Reactome:R-GGA-381676|Reactome:R-GGA-5607761|Reactome:R-GGA-5607764|Reactome:R-GGA-5610780|Reactome:R-GGA-5610785|Reactome:R-GGA-5676590|Reactome:R-GGA-5684264|Reactome:R-GGA-68949|Reactome:R-GGA-69231|Reactome:R-GGA-8854050|Reactome:R-GGA-8939902|Reactome:R-GGA-8951664|Reactome:R-GGA-9020702|Reactome:R-GGA-917937|Reactome:R-GGA-9696264|Reactome:R-GGA-9696270|Reactome:R-GGA-9708530|Reactome:R-GGA-9762114|Reactome:R-GGA-983168|Reactome:R-HSA-112382|Reactome:R-HSA-114608|Reactome:R-HSA-1169091|Reactome:R-HSA-1170546|Reactome:R-HSA-1234176|Reactome:R-HSA-1296072|Reactome:R-HSA-167152|Reactome:R-HSA-167200|Reactome:R-HSA-167238|Reactome:R-HSA-167243|Reactome:R-HSA-167246|Reactome:R-HSA-167287|Reactome:R-HSA-167290|Reactome:R-HSA-174113|Reactome:R-HSA-180534|Reactome:R-HSA-180585|Reactome:R-HSA-187577|Reactome:R-HSA-195253|Reactome:R-HSA-202424|Reactome:R-HSA-2122947|Reactome:R-HSA-2565942|Reactome:R-HSA-2644606|Reactome:R-HSA-2644607|Reactome:R-HSA-2871837|Reactome:R-HSA-2894862|Reactome:R-HSA-3232118|Reactome:R-HSA-381038|Reactome:R-HSA-381676|Reactome:R-HSA-3899300|Reactome:R-HSA-400253|Reactome:R-HSA-4641258|Reactome:R-HSA-5576890|Reactome:R-HSA-5576894|Reactome:R-HSA-5607761|Reactome:R-HSA-5607764|Reactome:R-HSA-5610780|Reactome:R-HSA-5610783|Reactome:R-HSA-5610785|Reactome:R-HSA-5632684|Reactome:R-HSA-5658442|Reactome:R-HSA-5676590|Reactome:R-HSA-5684264|Reactome:R-HSA-5689880|Reactome:R-HSA-5693568|Reactome:R-HSA-674695|Reactome:R-HSA-6783310|Reactome:R-HSA-6785807|Reactome:R-HSA-6796648|Reactome:R-HSA-6803205|Reactome:R-HSA-6811440|Reactome:R-HSA-68949|Reactome:R-HSA-69231|Reactome:R-HSA-75955|Reactome:R-HSA-8854050|Reactome:R-HSA-8866904|Reactome:R-HSA-8931987|Reactome:R-HSA-8939902|Reactome:R-HSA-8951664|Reactome:R-HSA-9010553|Reactome:R-HSA-9013148|Reactome:R-HSA-9013405|Reactome:R-HSA-9013418|Reactome:R-HSA-9013422|Reactome:R-HSA-9018519|Reactome:R-HSA-9020702|Reactome:R-HSA-917937|Reactome:R-HSA-9604323|Reactome:R-HSA-9614657|Reactome:R-HSA-9679191|Reactome:R-HSA-9696264|Reactome:R-HSA-9696270|Reactome:R-HSA-9705462|Reactome:R-HSA-9706019|Reactome:R-HSA-9707587|Reactome:R-HSA-9707616|Reactome:R-HSA-9708530|Reactome:R-HSA-9725371|Reactome:R-HSA-9755511|Reactome:R-HSA-9759194|Reactome:R-HSA-9762114|Reactome:R-HSA-9818027|Reactome:R-HSA-983168|Reactome:R-HSA-9833109|Reactome:R-MMU-112382|Reactome:R-MMU-114608|Reactome:R-MMU-1169091|Reactome:R-MMU-1170546|Reactome:R-MMU-1234176|Reactome:R-MMU-1296072|Reactome:R-MMU-174113|Reactome:R-MMU-187577|Reactome:R-MMU-195253|Reactome:R-MMU-202424|Reactome:R-MMU-2565942|Reactome:R-MMU-2871837|Reactome:R-MMU-3232118|Reactome:R-MMU-381676|Reactome:R-MMU-3899300|Reactome:R-MMU-4641258|Reactome:R-MMU-5576890|Reactome:R-MMU-5576894|Reactome:R-MMU-5607761|Reactome:R-MMU-5607764|Reactome:R-MMU-5610780|Reactome:R-MMU-5610785|Reactome:R-MMU-5632684|Reactome:R-MMU-5676590|Reactome:R-MMU-5684264|Reactome:R-MMU-5689880|Reactome:R-MMU-5693568|Reactome:R-MMU-674695|Reactome:R-MMU-6783310|Reactome:R-MMU-6796648|Reactome:R-MMU-6811440|Reactome:R-MMU-68949|Reactome:R-MMU-69231|Reactome:R-MMU-75955|Reactome:R-MMU-8854050|Reactome:R-MMU-8866904|Reactome:R-MMU-8939902|Reactome:R-MMU-8951664|Reactome:R-MMU-9013405|Reactome:R-MMU-9013418|Reactome:R-MMU-9013422|Reactome:R-MMU-9020702|Reactome:R-MMU-917937|Reactome:R-MMU-9696264|Reactome:R-MMU-9696270|Reactome:R-MMU-9705462|Reactome:R-MMU-9706019|Reactome:R-MMU-9707616|Reactome:R-MMU-9708530|Reactome:R-MMU-9755511|Reactome:R-MMU-9762114|Reactome:R-MMU-983168|Reactome:R-RNO-112382|Reactome:R-RNO-114608|Reactome:R-RNO-1169091|Reactome:R-RNO-1170546|Reactome:R-RNO-1234176|Reactome:R-RNO-1296072|Reactome:R-RNO-174113|Reactome:R-RNO-187577|Reactome:R-RNO-195253|Reactome:R-RNO-2565942|Reactome:R-RNO-381676|Reactome:R-RNO-4641258|Reactome:R-RNO-5576890|Reactome:R-RNO-5576894|Reactome:R-RNO-5607761|Reactome:R-RNO-5610780|Reactome:R-RNO-5610785|Reactome:R-RNO-5676590|Reactome:R-RNO-5689880|Reactome:R-RNO-674695|Reactome:R-RNO-6796648|Reactome:R-RNO-68949|Reactome:R-RNO-69231|Reactome:R-RNO-75955|Reactome:R-RNO-8854050|Reactome:R-RNO-8866904|Reactome:R-RNO-8951664|Reactome:R-RNO-9020702|Reactome:R-RNO-917937|Reactome:R-RNO-9696264|Reactome:R-RNO-9696270|Reactome:R-RNO-9705462|Reactome:R-RNO-9755511|Reactome:R-RNO-9762114|Reactome:R-RNO-983168|Reactome:R-SCE-6796648|Reactome:R-SCE-68949|Reactome:R-SCE-8854050|Reactome:R-SCE-917937|Reactome:R-SCE-983168|Reactome:R-SPO-6796648|Reactome:R-SPO-6798695|Reactome:R-SPO-68949|Reactome:R-SPO-8854050|Reactome:R-SPO-8951664|Reactome:R-SPO-983168|Reactome:R-SSC-5689880|Reactome:R-SSC-8951664|Reactome:R-SSC-9755511|Reactome:R-SSC-983168|Reactome:R-XTR-5632684|Reactome:R-XTR-8951664|Reactome:R-XTR-9696264|Reactome:R-XTR-983168
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,ProSiteProfiles,PS50097,BTB domain profile.,41,109,8.813578,T,4/11/25,IPR000210,BTB/POZ domain,GO:0005515(InterPro),Reactome:R-BTA-114608|Reactome:R-BTA-1296072|Reactome:R-BTA-5576894|Reactome:R-BTA-5632684|Reactome:R-BTA-8951664|Reactome:R-BTA-983168|Reactome:R-CEL-5632684|Reactome:R-CEL-8951664|Reactome:R-CEL-9706019|Reactome:R-CEL-983168|Reactome:R-DDI-114608|Reactome:R-DDI-8951664|Reactome:R-DDI-983168|Reactome:R-DME-1296072|Reactome:R-DME-210671|Reactome:R-DME-216167|Reactome:R-DME-381676|Reactome:R-DME-5576890|Reactome:R-DME-5576894|Reactome:R-DME-5632684|Reactome:R-DME-6811440|Reactome:R-DME-8866904|Reactome:R-DME-8951664|Reactome:R-DME-9706019|Reactome:R-DME-983168|Reactome:R-DRE-114608|Reactome:R-DRE-4641258|Reactome:R-DRE-5632684|Reactome:R-DRE-5689880|Reactome:R-DRE-8951664|Reactome:R-DRE-9696264|Reactome:R-DRE-9696270|Reactome:R-DRE-9755511|Reactome:R-DRE-983168|Reactome:R-GGA-1296072|Reactome:R-GGA-3232118|Reactome:R-GGA-381676|Reactome:R-GGA-8951664|Reactome:R-GGA-9696264|Reactome:R-GGA-9696270|Reactome:R-GGA-983168|Reactome:R-HSA-114608|Reactome:R-HSA-1296072|Reactome:R-HSA-3232118|Reactome:R-HSA-381038|Reactome:R-HSA-381676|Reactome:R-HSA-3899300|Reactome:R-HSA-4641258|Reactome:R-HSA-5576890|Reactome:R-HSA-5576894|Reactome:R-HSA-5632684|Reactome:R-HSA-5658442|Reactome:R-HSA-5689880|Reactome:R-HSA-5693568|Reactome:R-HSA-6783310|Reactome:R-HSA-6785807|Reactome:R-HSA-6803205|Reactome:R-HSA-6811440|Reactome:R-HSA-8866904|Reactome:R-HSA-8931987|Reactome:R-HSA-8951664|Reactome:R-HSA-9013148|Reactome:R-HSA-9013405|Reactome:R-HSA-9013418|Reactome:R-HSA-9013422|Reactome:R-HSA-9018519|Reactome:R-HSA-9614657|Reactome:R-HSA-9679191|Reactome:R-HSA-9696264|Reactome:R-HSA-9696270|Reactome:R-HSA-9706019|Reactome:R-HSA-9707587|Reactome:R-HSA-9707616|Reactome:R-HSA-9708530|Reactome:R-HSA-9755511|Reactome:R-HSA-9759194|Reactome:R-HSA-9818027|Reactome:R-HSA-983168|Reactome:R-MMU-114608|Reactome:R-MMU-1296072|Reactome:R-MMU-3232118|Reactome:R-MMU-381676|Reactome:R-MMU-3899300|Reactome:R-MMU-4641258|Reactome:R-MMU-5576890|Reactome:R-MMU-5576894|Reactome:R-MMU-5632684|Reactome:R-MMU-5689880|Reactome:R-MMU-5693568|Reactome:R-MMU-6783310|Reactome:R-MMU-6811440|Reactome:R-MMU-8866904|Reactome:R-MMU-8951664|Reactome:R-MMU-9013405|Reactome:R-MMU-9013418|Reactome:R-MMU-9013422|Reactome:R-MMU-9696264|Reactome:R-MMU-9696270|Reactome:R-MMU-9706019|Reactome:R-MMU-9707616|Reactome:R-MMU-9708530|Reactome:R-MMU-9755511|Reactome:R-MMU-983168|Reactome:R-RNO-114608|Reactome:R-RNO-1296072|Reactome:R-RNO-381676|Reactome:R-RNO-4641258|Reactome:R-RNO-5576890|Reactome:R-RNO-5576894|Reactome:R-RNO-5689880|Reactome:R-RNO-8866904|Reactome:R-RNO-8951664|Reactome:R-RNO-9696264|Reactome:R-RNO-9696270|Reactome:R-RNO-9755511|Reactome:R-RNO-983168|Reactome:R-SSC-5689880|Reactome:R-SSC-8951664|Reactome:R-SSC-9755511|Reactome:R-SSC-983168|Reactome:R-XTR-5632684|Reactome:R-XTR-8951664|Reactome:R-XTR-9696264|Reactome:R-XTR-983168
sp|Q8WZ19|BACD1_HUMAN,ceef5570e4b5fb134f69caa5c5a06899,329,MobiDBLite,mobidb-lite,consensus disorder prediction,1,22,-,T,4/11/25,-,-,-,-
sp|Q6P1Q0|LTMD1_HUMAN,433bfa863ac535105fcb3a0b072027ea,360,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,138,161,-,T,4/11/25,-,-,-,-
